item_number,accessory_group,accessory_part_number,accessory_description,accessory_image_url,raw_value
RM/91050/M/25,Mountings,QM/90050/21,C - Foot Mounting 50mm bore,https://cdn.norgren.com/images/243x/Mountings_QM90000_Style_C.jpg,QM/90050/21|https://cdn.norgren.com/images/243x/Mountings_QM90000_Style_C.jpg|C - Foot Mounting 50mm bore
RM/91050/M/25,Service Kits,QM/92050/00,"Service kits for RM/92000, 50mm",https://cdn.norgren.com/images/243x/qm92000_service_kits.jpg,"QM/92050/00|https://cdn.norgren.com/images/243x/qm92000_service_kits.jpg|Service kits for RM/92000, 50mm"
RM/91050/M/25,Switches,M/50/LSU/5V,"M/50 magnetically operated reed switch, 5m cable",https://cdn.norgren.com/images/243x/M50.jpg,"M/50/LSU/5V|https://cdn.norgren.com/images/243x/M50.jpg|M/50 magnetically operated reed switch, 5m cable"
RM/91050/M/25,Switches,M/P72487B,"Switch bracket for M/50 switches for actuators RM/91000/M, RM/92000/M and M/60100/M",https://cdn.norgren.com/images/243x/PH_SW_M_P72487.jpg,"M/P72487B|https://cdn.norgren.com/images/243x/PH_SW_M_P72487.jpg|Switch bracket for M/50 switches for actuators RM/91000/M, RM/92000/M and M/60100/M"
RM/91050/M/25,Tubing,M/3314,Tube cutter,https://cdn.norgren.com/images/243x/Tube_cutter.jpg,M/3314|https://cdn.norgren.com/images/243x/Tube_cutter.jpg|Tube cutter
RM/91050/M/25,Tubing,PA2-0006100,"Polyamide tube, natural, 100m, 6mm/4mm",https://cdn.norgren.com/images/243x/PH_OT_PA2_0008100_243.jpg,"PA2-0006100|https://cdn.norgren.com/images/243x/PH_OT_PA2_0008100_243.jpg|Polyamide tube, natural, 100m, 6mm/4mm"
RM/91050/M/25,Tubing,PA2-0006025C,"Polyamide tube, natural, 25m, 6mm/4mm",https://cdn.norgren.com/images/243x/PH_OT_PA2_0008025C_243.jpg,"PA2-0006025C|https://cdn.norgren.com/images/243x/PH_OT_PA2_0008025C_243.jpg|Polyamide tube, natural, 25m, 6mm/4mm"
RM/91050/M/25,Valves,V60A417A-A313J,"V60 series inline solenoid valve, G1/8, 3/2, NC, solenoid pilot / spring return",https://cdn.norgren.com/images/243x/PH_VA_V60A417A_A313J_243.jpg,"V60A417A-A313J|https://cdn.norgren.com/images/243x/PH_VA_V60A417A_A313J_243.jpg|V60 series inline solenoid valve, G1/8, 3/2, NC, solenoid pilot / spring return"
RM/91050/M/25,Valves,V60A411A-A313J,"V60 series inline solenoid valve, G1/8, 3/2, NC, solenoid pilot / solenoid pilot",https://cdn.norgren.com/images/243x/PH_VA_V60A411A_A313J_w.jpg,"V60A411A-A313J|https://cdn.norgren.com/images/243x/PH_VA_V60A411A_A313J_w.jpg|V60 series inline solenoid valve, G1/8, 3/2, NC, solenoid pilot / solenoid pilot"
T1000C3800,Fittings,D02251038,"Pneufit D acetal push-in fitting, adaptor, straight, G3/8, 10mm",https://cdn.norgren.com/images/243x/PH_FI_D02250418_s_243.jpg,"D02251038|https://cdn.norgren.com/images/243x/PH_FI_D02250418_s_243.jpg|Pneufit D acetal push-in fitting, adaptor, straight, G3/8, 10mm"
